的	白勹丶
尸	尸
悄	忄⺌月
残	一夕一戈
尖	小大
鲁	鱼日
锋	钅夊丰
圈	囗丷夫㔾
油	氵由
俩	亻一冂人
資	冫欠貝
项	工页
撞	扌立里
瞬	目爪冖㐄
忆	忄乙
盖	⺷皿
尤	尤
徒	彳走
乡	{纟上}丿
概	木{即左}匚儿
户	户
荡	艹氵乙{二撇}
艺	艹乙
增	土丷{曾中}日
樂	白幺幺木
祖	示且
關	門幺幺丱
困	囗木
殿	尸龷八殳
迅	乙十辶
横	木龷由八
范	艹氵㔾
書	彐土日
律	彳彐{奉下}
番	丿米田
企	人止
惨	忄厶大彡
限	阝艮
聚	耳又亻{飞右}
含	人丶乙口
凭	亻壬几
師	{阜上}一巾
剧	尸古刂
產	文厂生
碎	石亠人十
躺	身尚
缘	纟彑{豕下}
凉	冫{京上}小
腾	月丷夫马
织	纟口八
抢	扌人㔾
预	予页
沈	氵冖儿
替	夫夫日
孔	子乚
批	扌匕匕
康	广隶
惑	戈口一心
唯	口隹
率	亠幺冫十
惯	忄{母框}十贝
登	癶一口䒑
互	一彑
觀	艹口口見
盯	目丁
稍	禾⺌月
宣	宀一日一
唱	口日日
诚	讠戊乙
剩	禾丬匕刂
咬	口亠八乂
育	亠厶月
诸	讠耂日
触	⺈用虫
晨	日辰
策	竹木冂
疼	疒夊⺀
漫	氵日罒又
材	木{于下}丿
补	衤卜
私	禾厶
吐	口土
纯	纟七ㄩ
艾	艹乂
贝	贝
變	言糸糸夊
谷	八人口
庭	广壬廴
挡	扌⺌彐
晃	日⺌兀
吉	士口
聲	士{眉上}殳耳
從	彳人人龰
吹	口欠
仔	亻子
仇	亻九
凝	冫匕矢龰
鼓	壴十又
农	冖{衣下}
席	广卄一巾
征	彳正
帅	リ巾
附	阝亻寸
缺	缶ユ人
塞	宀{冓上}八土
豪	{亮上}豕
亦	亦
杜	木土
努	女又力
判	丷{奉下}刂
谋	讠卄二木
胆	月日一
尘	小土
扎	扌乚
許	言{乞上}十
滚	氵亠八{衣下}
闷	门心
迟	尸乀辶
稳	禾⺈彐心
翼	习习田八
诺	讠艹ナ口
闲	门木
門	門
灰	ナ火
朵	几木
盛	戊乙皿
梁	氵刀八木
晶	日日日
餐	⺊夕又食
應	广亻隹心
爆	火日龷水
伦	亻人匕
娇	女夭{介下}
侧	亻贝刂
愣	忄罒方
東	木日
鼻	自田丌
話	言舌
轮	车人匕
昏	{卬左}七日
抖	扌⺀十
陷	阝⺈臼
敏	{乞上}母夊
词	讠乙一口
內	冂入
慌	忄艹亡{荒下}
愤	忄十廾贝
怜	忄人丶マ
颤	亠囗口页
阶	阝人{介下}
苍	艹人㔾
員	口貝
總	糸{囟框}夊心
愛	爪冖心夊
距	足匚コ
畫	彐土田一
郑	䒑大阝
川	川
扫	扌彐
逼	一口田辶
县	且厶
忧	忄尤
童	立里
执	扌九丶
丢	壬厶
荣	艹冖木
臂	尸口辛月
逐	豕辶
傲	亻龶勹夊
戴	十戈田八
芒	艹亡
庆	广大
伴	亻丷{奉下}
袭	尤丿亠{衣下}
供	亻龷八
积	禾口八
测	氵贝刂
遥	爪缶辶
阻	阝且
統	糸亠厶儿
例	亻一夕刂
睁	目⺈彐乙
岛	{鸟上}山
遗	口丄贝辶
瞪	目癶一䒑
慕	艹日大丶
皱	⺈彐皮
博	十甫寸
幕	艹日大巾
猜	犭龶月
益	䒑八皿
净	冫⺈彐乙
泽	氵又{奉下}
炼	火七乙八
监	〢{⺮右}皿
鸡	又鸟
別	口勹刂
珍	王人彡
伏	亻犬
绍	纟刀口
曹	{曹上}日
爬	爪巴
丫	丷丨
炸	火{乞上}{乍下}
壁	尸口辛土
涌	氵マ用
凶	乂ㄩ
郎	丶{即左}阝
宿	宀亻丆日
怨	夕㔾心
覺	⺽乂乂見
醉	酉亠人十
拼	扌䒑廾
廣	广龷由八
迫	白辶
計	言十
革	革
瞧	目隹灬
奥	{向框}米大
結	糸士口
输	车人一刂
莉	艹禾刂
忠	口丨心
選	巳巳龷辶
颗	日木页
嗯	口囗大心
佳	亻土土
旅	方{乞上}{衣下}
仁	亻二
鸟	鸟
骗	马户冊
浩	氵⺧口
塔	土艹合
胖	月丷{奉下}
绪	纟耂日
枫	木几乂
拔	扌ナ又丶
